회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
IBKS제19호스팩,426550,금융 지원 서비스업,기업인수 및 합병,2022-08-26,12월,임세광,http://www.ibks.com,서울특별시
신영스팩8호,430220,금융 지원 서비스업,기업인수,2022-08-26,12월,변 해 봉,,서울특별시
대성하이텍,129920,특수 목적용 기계 제조업,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터",2022-08-22,12월,"최우각, 최호형",http:///www.topdsht.com/,대구광역시
에이치와이티씨,148930,기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품,2022-08-09,12월,조동석,http://www.hyseoul.com,경기도
새빗켐,107600,기타 화학제품 제조업,"폐전지재활용소재, 폐산재활용",2022-08-04,12월,박민규,http://www.sebitchem.com,경상북도
유안타제9호스팩,430700,금융 지원 서비스업,기업인수목적회사,2022-08-04,12월,현승철,,서울특별시
신한제10호스팩,418210,금융 지원 서비스업,금융서비스(기업인수목적 회사),2022-07-29,12월,이동환,,서울특별시
아이씨에이치,368600,그외 기타 제품 제조업,스마트기기용 필름형 안테나,2022-07-29,12월,김영훈,http://www.ch-ich.com,경기도
성일하이텍,365340,기초 화학물질 제조업,"코발트, 니켈, 리튬 등",2022-07-28,12월,이강명,http://www.sungeelht.com/,전라북도
에이프릴바이오,397030,자연과학 및 공학 연구개발업,항체의약품 및 재조합 단백질 의약품,2022-07-28,12월,차상훈,http://www.aprilbio.com/,강원도
IBKS제18호스팩,424760,금융 지원 서비스업,기업인수 및 합병,2022-07-22,12월,이진욱,http://ibks.com,서울특별시
루닛,328130,소프트웨어 개발 및 공급업,Lunit INSIGHT,2022-07-21,12월,서범석,http://www.lunit.io,서울특별시
HPSP,403870,특수 목적용 기계 제조업,고압 수소 어닐링 장비,2022-07-15,12월,김용운,http://www.thehpsp.com/,경기도
대신밸런스제12호스팩,426670,금융 지원 서비스업,금융 지원 서비스업,2022-07-14,12월,이문수,,
영창케미칼,112290,기타 화학제품 제조업,반도체 및 디스플레이용 화학소재,2022-07-14,12월,"이성일, 이승훈",http://www.ycchem.co.kr/,경상북도
